Date,Year,Month,Close
2007-01-17 02:24:00-05:00,2007,1,9132.087548828125
2007-02-14 11:22:06.315789568-05:00,2007,2,9346.469006990132
2007-03-16 01:24:32.727272704-04:00,2007,3,9120.569557883522
2007-04-15 16:48:00-04:00,2007,4,9555.981591796875
2007-05-15 10:54:32.727272704-04:00,2007,5,9822.99462890625
2007-06-15 18:17:08.571428608-04:00,2007,6,9896.981352306548
2007-07-16 12:34:17.142857216-04:00,2007,7,9985.420014880952
2007-08-16 08:20:52.173913088-04:00,2007,8,9440.44038722826
2007-09-16 03:47:22.105263104-04:00,2007,9,9777.58747944079
2007-10-15 15:39:07.826086912-04:00,2007,10,10159.331691576086
2007-11-15 18:11:25.714285824-05:00,2007,11,9741.146670386905
2007-12-15 19:12:00-05:00,2007,12,9807.35849609375
2008-01-16 11:25:42.857142784-05:00,2008,1,9165.102864583334
2008-02-15 15:36:00-05:00,2008,2,9041.520556640626
2008-03-16 00:15:00-04:00,2008,3,8776.20751953125
2008-04-15 07:38:10.909090816-04:00,2008,4,9174.104536576704
2008-05-15 13:42:51.428571392-04:00,2008,5,9429.044689360118
2008-06-15 05:42:51.428571392-04:00,2008,6,8996.975678943452
2008-07-16 13:05:27.272727296-04:00,2008,7,8427.373224431818
2008-08-15 18:17:08.571428608-04:00,2008,8,8362.200520833334
2008-09-15 14:51:25.714285824-04:00,2008,9,7886.288504464285
2008-10-16 08:20:52.173913088-04:00,2008,10,6130.394340183424
2008-11-14 21:28:25.263158016-05:00,2008,11,5527.629959909539
2008-12-15 05:27:16.363636480-05:00,2008,12,5525.701327237216
2009-01-16 15:36:00-05:00,2009,1,5477.1419921875
2009-02-14 10:06:18.947368448-05:00,2009,2,5051.4247018914475
2009-03-15 23:08:10.909090816-04:00,2009,3,4739.718661221591
2009-04-15 22:51:25.714285824-04:00,2009,4,5338.392392113095
2009-05-15 07:12:00-04:00,2009,5,5823.096533203125
2009-06-14 22:54:32.727272704-04:00,2009,6,5985.640869140625
2009-07-16 22:54:32.727272704-04:00,2009,7,6026.553622159091
2009-08-16 05:42:51.428571392-04:00,2009,8,6577.182361421131
2009-09-15 17:08:34.285714176-04:00,2009,9,6839.876604352678
2009-10-16 01:05:27.272727296-04:00,2009,10,6986.349520596591
2009-11-14 16:48:00-05:00,2009,11,7079.384521484375
2009-12-15 14:10:54.545454592-05:00,2009,12,7167.513205788352
2010-01-16 10:06:18.947368448-05:00,2010,1,7257.3658254523025
2010-02-13 10:06:18.947368448-05:00,2010,2,6958.357935855263
2010-03-15 16:05:13.043478272-04:00,2010,3,7349.866104789402
2010-04-16 17:08:34.285714176-04:00,2010,4,7607.488095238095
2010-05-15 12:00:00-04:00,2010,5,7010.08154296875
2010-06-15 07:38:10.909090816-04:00,2010,6,6767.749090021307
2010-07-16 13:42:51.428571392-04:00,2010,7,6814.607607886905
2010-08-15 22:54:32.727272704-04:00,2010,8,6922.296830610795
2010-09-16 03:25:42.857142784-04:00,2010,9,7149.316173735119
2010-10-15 18:17:08.571428608-04:00,2010,10,7482.147135416667
2010-11-14 11:11:25.714285824-05:00,2010,11,7608.398577008928
2010-12-16 00:00:00-05:00,2010,12,7837.428178267045
2011-01-16 04:48:00-05:00,2011,1,8093.403002929687
2011-02-13 12:37:53.684210432-05:00,2011,2,8361.697882401315
2011-03-16 00:23:28.695652096-04:00,2011,3,8274.781356148098
2011-04-15 10:48:00-04:00,2011,4,8470.073095703125
2011-05-15 06:51:25.714285824-04:00,2011,5,8414.338216145834
2011-06-15 16:21:49.090909184-04:00,2011,6,8108.708651455966
2011-07-16 08:24:00-04:00,2011,7,8286.833569335937
2011-08-15 15:39:07.826086912-04:00,2011,8,7349.454802139946
2011-09-16 13:42:51.428571392-04:00,2011,9,7099.580008370535
2011-10-16 05:42:51.428571392-04:00,2011,10,7254.834751674107
2011-11-14 21:31:25.714285824-05:00,2011,11,7348.782924107143
2011-12-15 13:42:51.428571392-05:00,2011,12,7401.258603050595
2012-01-16 15:36:00-05:00,2012,1,7737.67197265625
2012-02-14 18:00:00-05:00,2012,2,8071.438525390625
2012-03-16 01:24:32.727272704-04:00,2012,3,8166.755859375
2012-04-15 16:48:00-04:00,2012,4,8043.142553710937
2012-05-15 10:54:32.727272704-04:00,2012,5,7713.736328125
2012-06-15 18:17:08.571428608-04:00,2012,6,7555.407552083333
2012-07-16 12:34:17.142857216-04:00,2012,7,7766.810407366072
2012-08-16 08:20:52.173913088-04:00,2012,8,8011.693062160326
2012-09-16 03:47:22.105263104-04:00,2012,9,8279.779965049342
2012-10-14 08:00:00-04:00,2012,10,8295.672898065477
2012-11-15 18:11:25.714285824-05:00,2012,11,8129.893833705357
2012-12-15 19:12:00-05:00,2012,12,8367.741943359375
2013-01-16 11:25:42.857142784-05:00,2013,1,8760.404203869048
2013-02-14 22:44:12.631578880-05:00,2013,2,8896.964740953947
